bodyId	NT	NT_prob
14848	gaba	0.84661824
14867	gaba	0.8334876
14872	glutamate	0.62675405
14878	acetylcholine	0.8046837
14879	gaba	0.7980062
14882	acetylcholine	0.8507106
14886	gaba	0.5680814
14898	glutamate	0.5730294
14901	unclear	0.0
14903	gaba	0.5480618
14908	unclear	0.0
14927	gaba	0.88181525
14929	acetylcholine	0.9123934
14945	glutamate	0.75581473
14947	glutamate	0.84520566
14977	unclear	
15000	unclear	0.4615165
15007	acetylcholine	0.8559353
15021	acetylcholine	0.88680106
15025	octopamine	0.5342206
15029	acetylcholine	0.85894895
15042	dopamine	0.95213014
15057	gaba	0.82252175
15069	gaba	0.8821517
15073	gaba	0.8066906
15074	unclear	0.61890936
15094	gaba	0.8432584
15095	gaba	0.8275392
15109	glutamate	0.7399775
15110	acetylcholine	0.65964395
15112	glutamate	0.64289504
15116	unclear	0.38467297
15127	gaba	0.86392796
15150	glutamate	0.64397305
15152	glutamate	0.81116617
15159	glutamate	0.7389659
15166	gaba	0.8196941
15194	gaba	0.78076047
15213	gaba	0.8816173
15219	unclear	0.9712991
15243	gaba	0.85969
15248	glutamate	0.5906273
15258	unclear	
15264	unclear	0.49002036
15266	unclear	
15268	gaba	0.88553625
15273	unclear	0.0
15281	gaba	0.6095665
15307	unclear	0.34300432
15308	gaba	0.86196995
15319	unclear	0.73457056
15334	acetylcholine	0.8721473
15343	gaba	0.80211246
15348	unclear	0.78894526
15363	unclear	0.5336439
15366	gaba	0.88186663
15367	glutamate	0.8114836
15368	gaba	0.88300943
15371	glutamate	0.5688066
15377	acetylcholine	0.8523725
15392	gaba	0.88365567
15400	acetylcholine	0.79258454
15402	unclear	0.5672385
15412	gaba	0.84229714
15422	acetylcholine	0.7976849
15440	gaba	0.5953656
15447	unclear	0.5672385
15460	gaba	0.8839472
15468	gaba	0.8205642
15494	gaba	0.881862
15497	gaba	0.78488564
15510	gaba	0.8418479
15512	unclear	0.0
15514	dopamine	0.8383845
15523	unclear	
15545	unclear	
15562	gaba	0.854111
15576	glutamate	0.6927984
15581	acetylcholine	0.9116118
15584	glutamate	0.81814724
15586	acetylcholine	0.5244279
15589	glutamate	0.5822607
15593	acetylcholine	0.5463429
15606	unclear	
15608	glutamate	0.6844962
15635	unclear	
15642	unclear	0.85853916
15644	gaba	0.86432797
15656	acetylcholine	0.89712805
15661	unclear	0.3622303
15670	glutamate	0.5678454
15680	glutamate	0.820916
15688	acetylcholine	0.90809923
15697	unclear	
15716	glutamate	0.6093567
15719	gaba	0.83799756
15737	unclear	0.49782315
15741	gaba	0.86290306
15743	glutamate	0.6502637
15745	gaba	0.8797995
15750	gaba	0.84074986
15752	glutamate	0.5927786
15761	gaba	0.81261754
15770	glutamate	0.8474678
15771	unclear	0.80004567
15790	gaba	0.8393127
15814	gaba	0.7761538
15826	gaba	0.8823395
15829	gaba	0.65152687
15832	unclear	
15838	gaba	0.87949157
15853	gaba	0.88705844
15858	gaba	0.86564255
15863	unclear	0.39772093
15868	acetylcholine	0.8872195
15870	acetylcholine	0.91463315
15891	gaba	0.8805219
15892	glutamate	0.5776391
15898	unclear	
15908	acetylcholine	0.895737
15909	gaba	0.7546936
15910	unclear	0.38667056
15925	gaba	0.81223255
15943	unclear	0.9712991
15964	unclear	0.0
15980	unclear	
15987	glutamate	0.65526736
16002	gaba	0.87754935
16004	unclear	0.39803514
16007	gaba	0.7777307
16033	gaba	0.7709925
16034	glutamate	0.66366446
16051	unclear	0.0
16064	acetylcholine	0.73204464
16066	gaba	0.8581195
16069	gaba	0.8221798
16106	gaba	0.77187973
16117	gaba	0.80468875
16128	acetylcholine	0.8612554
16135	unclear	
16137	glutamate	0.71365637
16138	unclear	0.86337346
16140	gaba	0.7806309
16152	unclear	
16153	acetylcholine	0.6765715
16154	glutamate	0.7213667
16157	glutamate	0.7930742
16170	glutamate	0.66935
16178	unclear	
16184	gaba	0.8427611
16195	unclear	0.9712991
16209	unclear	0.0
16213	gaba	0.8319323
16218	gaba	0.74201554
16229	octopamine	0.5413992
16237	glutamate	0.63562846
16253	unclear	0.5879154
16260	gaba	0.5972598
16271	gaba	0.87358946
16273	unclear	0.0
16284	glutamate	0.79742527
16286	acetylcholine	0.85536593
16289	unclear	0.0
16291	glutamate	0.5542097
16316	acetylcholine	0.73287046
16323	unclear	
16325	gaba	0.6489244
16333	glutamate	0.87189287
16346	unclear	
16354	acetylcholine	0.84988964
16355	gaba	0.88069755
16363	unclear	0.0
16366	unclear	0.8939893
16367	acetylcholine	0.8691374
16373	acetylcholine	0.623809
16375	gaba	0.8885329
16388	gaba	0.8618388
16390	acetylcholine	0.70743614
16396	gaba	0.8068464
16413	glutamate	0.87228423
16415	gaba	0.7686539
16429	gaba	0.58990866
16432	unclear	0.0
16435	gaba	0.8148614
16461	unclear	0.48371655
16465	gaba	0.8184182
16468	acetylcholine	0.8276545
16469	acetylcholine	0.9196295
16474	acetylcholine	0.8558746
16478	glutamate	0.6024232
16512	acetylcholine	0.60023165
16514	gaba	0.8707792
16538	gaba	0.8781709
16545	gaba	0.7082289
16549	gaba	0.7682843
16552	unclear	0.6476766
16570	acetylcholine	0.7886361
16572	glutamate	0.58598346
16574	gaba	0.799775
16576	unclear	0.0
16587	gaba	0.87090784
16590	unclear	0.9712991
16597	gaba	0.8750767
16600	gaba	0.83747154
16602	unclear	0.4985647
16606	acetylcholine	0.56281614
16609	unclear	0.9712991
16611	gaba	0.60374653
16618	glutamate	0.6683053
16628	acetylcholine	0.8675332
16633	gaba	0.66462165
16643	gaba	0.8769135
16645	gaba	0.8757667
16649	unclear	0.0
16652	unclear	0.3119665
16653	gaba	0.85782343
16664	unclear	0.9712991
16670	gaba	0.83179855
16674	acetylcholine	0.9179393
16678	glutamate	0.87464345
